ID_ASIGNATURA,NOMBRE_ASIGNATURA,ID_ASIGNATURA_NK
199,Marketing General,199
200,Gramática I,200
201,Lingüística,201
202,Cálculo Computacional,202
203,Zoología Básica,203
204,Fisicoquímica para Ingenieros,204
205,Cirugía Fundamental Experimental,205
206,Fisicoquímica Básica Práctica,206
207,Geometría Aplicada Teórica,207
208,Álgebra Especial,208
209,Bioquímica Avanzada,209
210,Bioquímica II para Científicos,210
211,Cuántica,211
212,Microbiología,212
213,Botánica III para Ingenieros,213
214,Termodinámica Básica Experimental,214
215,Cirugía Aplicada Teórica,215
216,Química Inorgánica III Experimental,216
217,Semántica Avanzada,217
218,Contabilidad Fundamental,218
219,Arqueología I para Ingenieros,219
220,Finanzas,220
221,Fisiología Aplicada,221
222,Derecho Civil Básica,222
223,Análisis Fundamental,223
224,Historia Contemporánea para Científicos,224
225,Marketing,225
226,Semántica,226
227,Analítica General,227
228,Bases de Datos para Ingenieros,228
229,Programación Teórica,229
230,Algoritmos General Experimental,230
231,Historia Contemporánea II,231
232,Lingüística I,232
233,Sistemas Básica,233
234,Anatomía Experimental,234
235,Derecho Civil III,235
236,Derecho Mercantil,236
237,Genética Fundamental,237
238,Mecánica,238
239,Derecho Mercantil Avanzada,239
240,Microeconomía Fundamental,240
241,Electromagnetismo,241
242,Zoología,242
243,Anatomía Fundamental Experimental,243
244,Lingüística,244
245,Bases de Datos Aplicada,245
246,Microeconomía Básica,246
247,Anatomía Especial,247
248,Marketing III,248
249,Cirugía General,249
250,Mecánica General Computacional,250
251,Microeconomía Especial,251
252,Historia Contemporánea Fundamental,252
253,Bases de Datos Básica,253
254,Cuántica Práctica,254
255,Programación I Teórica,255
256,Farmacología I,256
257,Gramática Especial Práctica,257
258,Termodinámica Básica para Científicos,258
259,Arqueología Fundamental,259
260,Cálculo III Teórica,260
261,Óptica,261
262,Fisiología Aplicada,262
263,Cálculo Básica,263
264,Microeconomía,264
265,Finanzas I,265
266,Estadística Práctica,266
267,Genética General,267
268,Derecho Administrativo II Teórica,268
269,Ecología General,269
270,Contabilidad I,270
271,Literatura Fundamental,271
272,Zoología,272
273,Anatomía Aplicada,273
274,Redes III,274
275,Derecho Civil,275
276,Fisiología,276
277,Fisiología,277
278,Cuántica I,278
279,Botánica,279
280,Historia Contemporánea Teórica,280
281,Cuántica Fundamental,281
282,Zoología Especial,282
283,Cirugía,283
284,Mecánica,284
285,Fonética III,285
286,Arqueología Fundamental Teórica,286
287,Programación Fundamental,287
288,Geometría I,288
289,Fonética Experimental,289
290,Marketing II Experimental,290
291,Termodinámica II,291
292,Microbiología Avanzada,292
293,Álgebra I,293
294,Derecho Penal Aplicada,294
295,Bases de Datos Básica,295
296,Fonética General,296
297,Analítica III,297
298,Marketing Básica,298
299,Patología III,299
300,Bases de Datos III,300
301,Bases de Datos Fundamental Teórica,301
302,Cálculo II,302
303,Óptica II,303
304,Zoología General,304
305,Derecho Mercantil I,305
306,Óptica Fundamental,306
307,Zoología,307
308,Literatura Aplicada,308
309,Química Orgánica Básica,309
310,Derecho Administrativo Avanzada,310
311,Lingüística II,311
312,Gramática Aplicada,312
313,Contabilidad Experimental,313
314,Derecho Mercantil,314
315,Lingüística Aplicada,315
316,Algoritmos Básica Práctica,316
317,Historia Contemporánea Aplicada Experimental,317
318,Arqueología Básica,318
319,Redes Avanzada Computacional,319
320,Derecho Administrativo Básica,320
321,Bioquímica,321
322,Macroeconomía Aplicada,322
323,Microeconomía Avanzada,323
324,Historia Medieval,324
325,Zoología Teórica,325
326,Microeconomía II,326
327,Arqueología para Ingenieros,327
328,Historia Moderna Básica,328
329,Historia Medieval Básica Experimental,329
330,Fisicoquímica,330
331,Derecho Laboral Aplicada,331
332,Derecho Penal Fundamental,332
333,Historia Moderna Avanzada,333
334,Derecho Mercantil,334
335,Zoología Especial,335
336,Patología Avanzada,336
337,Derecho Administrativo Especial,337
338,Cuántica,338
339,Química Orgánica Fundamental Experimental,339
340,Derecho Penal para Científicos,340
341,Historia Antigua,341
342,Semántica Básica Computacional,342
343,Semántica,343
344,Mecánica,344
345,Redes Aplicada,345
346,Semántica I,346
347,Derecho Civil Avanzada,347
348,Cirugía Básica,348
349,Contabilidad Especial,349
350,Redes III,350
351,Termodinámica General,351
352,Programación,352
353,Contabilidad General,353
354,Ecología Fundamental Experimental,354
355,Derecho Penal,355
356,Bioquímica II para Científicos,356
357,Óptica,357
358,Arqueología Teórica,358
359,Programación,359
360,Derecho Administrativo Experimental,360
361,Electromagnetismo I,361
362,Contabilidad Fundamental,362
363,Microbiología Fundamental para Científicos,363
364,Cirugía General Teórica,364
365,Gramática Avanzada,365
366,Redes III,366
367,Botánica para Científicos,367
368,Contabilidad Especial,368
369,Historia Moderna,369
370,Microbiología,370
371,Microeconomía General,371
372,Química Inorgánica General,372
373,Bioquímica,373
374,Semántica Básica,374
375,Gramática III para Científicos,375
376,Botánica Básica,376
377,Farmacología,377
378,Análisis Computacional,378
379,Zoología Avanzada para Ingenieros,379
380,Mecánica Básica,380
381,Historia Moderna Aplicada para Ingenieros,381
382,Mecánica,382
383,Fonética Computacional,383
384,Derecho Civil para Científicos,384
385,Derecho Laboral para Científicos,385
386,Historia Antigua Especial Experimental,386
387,Genética Práctica,387
388,Semántica,388
389,Zoología Avanzada,389
390,Bases de Datos III,390
391,Microbiología para Ingenieros,391
392,Análisis III,392
393,Macroeconomía,393
394,Patología I para Ingenieros,394
395,Microeconomía III Experimental,395
396,Bioquímica Aplicada Experimental,396
397,Química Orgánica III,397
398,Botánica Básica,398
399,Fonética,399
400,Contabilidad Fundamental,400
401,Mecánica Básica,401
402,Gramática Fundamental Experimental,402
403,Mecánica Avanzada,403
404,Macroeconomía General,404
405,Fisicoquímica III Teórica,405
406,Genética II,406
407,Lingüística para Científicos,407
408,Cálculo,408
409,Análisis Especial,409
410,Semántica Aplicada,410
411,Fisicoquímica Avanzada,411
412,Historia Antigua Aplicada,412
413,Fonética I Teórica,413
414,Microbiología,414
415,Botánica II para Ingenieros,415
416,Fisicoquímica Avanzada,416
417,Fisiología II,417
418,Patología General para Ingenieros,418
419,Electromagnetismo III,419
420,Semántica Aplicada,420
421,Gramática General,421
422,Marketing,422
423,Derecho Mercantil Especial,423
424,Historia Contemporánea,424
425,Microbiología,425
426,Botánica Aplicada,426
427,Estadística III,427
428,Programación Básica,428
429,Marketing,429
430,Botánica Avanzada,430
431,Sistemas II,431
432,Patología Experimental,432
433,Programación General,433
434,Derecho Civil I,434
435,Derecho Civil Fundamental,435
436,Fisiología III,436
437,Geometría Fundamental para Ingenieros,437
438,Analítica,438
439,Termodinámica,439
440,Análisis Fundamental,440
441,Derecho Penal Avanzada,441
442,Historia Contemporánea Fundamental,442
443,Química Inorgánica Computacional,443
444,Anatomía,444
445,Contabilidad,445
446,Estadística,446
447,Arqueología,447
448,Química Inorgánica II,448
449,Programación,449
450,Termodinámica,450
451,Sistemas Avanzada,451
452,Literatura,452
453,Microbiología III Práctica,453
454,Geometría I,454
455,Zoología,455
456,Patología,456
457,Álgebra Aplicada,457
458,Programación Experimental,458
459,Analítica Aplicada Experimental,459
460,Cirugía,460
461,Arqueología Avanzada,461
462,Gramática III,462
463,Estadística Básica,463
464,Fisicoquímica,464
465,Ecología I Teórica,465
466,Zoología Práctica,466
467,Mecánica Avanzada,467
468,Derecho Penal Básica,468
469,Patología III,469
470,Cirugía III,470
471,Microbiología III,471
472,Fisiología II,472
473,Termodinámica I,473
474,Finanzas Básica,474
475,Electromagnetismo,475
476,Cirugía,476
477,Fisicoquímica,477
478,Macroeconomía Fundamental,478
479,Farmacología General,479
480,Historia Contemporánea,480
481,Geometría Básica,481
482,Derecho Penal Avanzada para Ingenieros,482
483,Óptica Aplicada,483
484,Historia Medieval General Práctica,484
485,Finanzas Fundamental Teórica,485
486,Análisis,486
487,Cálculo I,487
488,Fonética I,488
489,Bioquímica Básica Experimental,489
490,Óptica Práctica,490
491,Literatura II,491
492,Lingüística,492
493,Literatura I,493
494,Óptica Avanzada Experimental,494
495,Sistemas III,495
496,Programación,496
497,Macroeconomía Fundamental,497
498,Fisiología III,498
499,Marketing III para Científicos,499
500,Mecánica Especial,500
