ID_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,ID_CENTRO,ID_PLAN_ESTUDIO,NOMBRE_CENTRO_EXT,FECHA_CARGA,NOMBRE_CENTRO,NOMBRE_PLAN_ESTUDIO,NOMBRE_PLAN_ESTUDIO_EXT
85,Universidad Medicina de Arcos (Burkina Faso),29,23,Departamento de Investigación (Burgos),2022-12-08,Departamento de Investigación,Máster Universitario en Abogacía,"Máster Universitario en Abogacía (Departamento de Investigación, Málaga)"
68,Universidad Ciencias de Tello (Sudán),3,11,Facultad de Derecho (Jaén),2021-10-30,Facultad de Derecho,Grado en Historia,"Grado en Historia (Facultad de Derecho, Málaga)"
64,Universidad Medicina de Coll (Afganistán),49,99,Instituto Universitario de Investigación 17 (Navarra),2023-04-22,Instituto Universitario de Investigación 17,Grado en Física,"Grado en Física (Instituto Universitario de Investigación 17, Bilbao)"
22,Universidad Complutense de Badajoz (Mauritania),14,94,Facultad de Traducción e Interpretación (Sevilla),2022-01-21,Facultad de Traducción e Interpretación,Grado en Medicina,"Grado en Medicina (Facultad de Traducción e Interpretación, Valladolid)"
97,Universidad Tecnología de Bolaños (Guinea Ecuatorial),8,22,Facultad de Educación (Guadalajara),2023-07-16,Facultad de Educación,Máster Universitario en Administración de Empresas,"Máster Universitario en Administración de Empresas (Facultad de Educación, Madrid)"
61,Universidad Ciencias de Oller (San Vicente y las Granadinas),48,69,Facultad de Filosofía y Letras 16 (Zaragoza),2021-07-22,Facultad de Filosofía y Letras 16,Grado en Física,"Grado en Física (Facultad de Filosofía y Letras 16, Oviedo)"
19,Universidad Tecnología de Beltrán (Guinea Ecuatorial),34,56,Facultad de Educación 2 (Valladolid),2020-05-30,Facultad de Educación 2,Doctorado en Informática,"Doctorado en Informática (Facultad de Educación 2, Murcia)"
41,Universidad de Palencia (Argentina),34,6,Facultad de Educación 2 (Valladolid),2020-09-21,Facultad de Educación 2,Grado en Arquitectura,"Grado en Arquitectura (Facultad de Educación 2, Vigo)"
56,Universidad Tecnología de Tomé (Andorra),40,35,Facultad de Enfermería 8 (Valladolid),2022-05-09,Facultad de Enfermería 8,Grado en Psicología,"Grado en Psicología (Facultad de Enfermería 8, Vigo)"
33,Universidad Medicina de Martínez (Palau),42,51,Facultad de Farmacia 10 (Ávila),2023-11-24,Facultad de Farmacia 10,Máster Universitario en Inteligencia Artificial,"Máster Universitario en Inteligencia Artificial (Facultad de Farmacia 10, Valladolid)"
94,Universidad Politécnica de Zamora (Bangladesh),44,99,Departamento de Investigación 12 (Sevilla),2021-09-11,Departamento de Investigación 12,Grado en Física,"Grado en Física (Departamento de Investigación 12, Valladolid)"
41,Universidad de Palencia (Argentina),36,87,Facultad de Farmacia 4 (Murcia),2020-02-01,Facultad de Farmacia 4,Doctorado en Economía y Empresa,"Doctorado en Economía y Empresa (Facultad de Farmacia 4, Madrid)"
14,Universidad Politécnica de Toledo (Suriname),44,45,Departamento de Investigación 12 (Sevilla),2021-12-10,Departamento de Investigación 12,Grado en Farmacia,"Grado en Farmacia (Departamento de Investigación 12, Alicante)"
25,Universidad Autónoma de Pontevedra (Nauru),3,80,Facultad de Derecho (Jaén),2020-01-31,Facultad de Derecho,Grado en Educación Primaria,"Grado en Educación Primaria (Facultad de Derecho, Madrid)"
77,Universidad Técnica de Segovia (Sudán),41,91,Centro Adscrito de Formación Profesional 9 (Girona),2020-02-28,Centro Adscrito de Formación Profesional 9,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Centro Adscrito de Formación Profesional 9, Barcelona)"
49,Universidad Ciencias de Valls (Tuvalu),43,83,Facultad de Ciencias Sociales 11 (Jaén),2021-02-23,Facultad de Ciencias Sociales 11,Máster Universitario en Abogacía,"Máster Universitario en Abogacía (Facultad de Ciencias Sociales 11, Oviedo)"
33,Universidad Medicina de Martínez (Palau),19,85,Escuela Técnica Superior de Ingeniería Agronómica (Melilla),2020-11-15,Escuela Técnica Superior de Ingeniería Agronómica,Máster Universitario en Psicología General Sanitaria,"Máster Universitario en Psicología General Sanitaria (Escuela Técnica Superior de Ingeniería Agronómica, Alicante)"
99,Universidad Internacional de Lugo (Belarús),28,86,Centro Adscrito de Formación Profesional (Sevilla),2022-05-06,Centro Adscrito de Formación Profesional,Doctorado en Informática,"Doctorado en Informática (Centro Adscrito de Formación Profesional, Gijón)"
36,Universidad Medicina de Alegria (Argentina),50,49,Escuela Universitaria de Turismo 18 (Girona),2023-06-02,Escuela Universitaria de Turismo 18,Grado en Bellas Artes,"Grado en Bellas Artes (Escuela Universitaria de Turismo 18, Madrid)"
34,Universidad Medicina de Vendrell (Jamaica),12,9,Facultad de Trabajo Social (Burgos),2023-04-20,Facultad de Trabajo Social,Grado en Física,"Grado en Física (Facultad de Trabajo Social, Alicante)"
63,Universidad Católica de La Coruña (Suecia),7,70,Facultad de Veterinaria (Ávila),2023-04-20,Facultad de Veterinaria,Grado en Matemáticas,"Grado en Matemáticas (Facultad de Veterinaria, Valencia)"
57,Universidad Internacional de Cuenca (República Dominicana),46,14,Facultad de Ciencias 14 (Zaragoza),2020-02-03,Facultad de Ciencias 14,Grado en Enfermería,"Grado en Enfermería (Facultad de Ciencias 14, Zaragoza)"
100,Universidad Artes de Hurtado (Mauritania),29,64,Departamento de Investigación (Burgos),2021-11-21,Departamento de Investigación,Grado en Medicina,"Grado en Medicina (Departamento de Investigación, Madrid)"
5,Universidad Católica de Málaga (Afganistán),43,35,Facultad de Ciencias Sociales 11 (Jaén),2021-12-11,Facultad de Ciencias Sociales 11,Grado en Psicología,"Grado en Psicología (Facultad de Ciencias Sociales 11, Bilbao)"
66,Universidad Medicina de Bermúdez (Montenegro),46,63,Facultad de Ciencias 14 (Zaragoza),2023-07-13,Facultad de Ciencias 14,Grado en Derecho,"Grado en Derecho (Facultad de Ciencias 14, Oviedo)"
70,Universidad Ciencias de Llabrés (Palau),15,50,Facultad de Ciencias Sociales (Lleida),2023-02-19,Facultad de Ciencias Sociales,Grado en Educación Primaria,"Grado en Educación Primaria (Facultad de Ciencias Sociales, Madrid)"
43,Universidad Medicina de Coloma (Austria),44,52,Departamento de Investigación 12 (Sevilla),2020-11-21,Departamento de Investigación 12,Máster Universitario en Administración de Empresas,"Máster Universitario en Administración de Empresas (Departamento de Investigación 12, Zaragoza)"
47,Universidad Artes de Cordero (Congo),35,44,Escuela Técnica Superior de Ingeniería Agronómica 3 (Madrid),2020-08-25,Escuela Técnica Superior de Ingeniería Agronómica 3,Grado en Enfermería,"Grado en Enfermería (Escuela Técnica Superior de Ingeniería Agronómica 3, Murcia)"
83,Universidad Complutense de La Coruña (Vanuatu),13,71,Facultad de Bellas Artes (Asturias),2020-07-22,Facultad de Bellas Artes,Grado en Historia,"Grado en Historia (Facultad de Bellas Artes, Valencia)"
39,Universidad Medicina de Amor (Uzbekistán),45,14,Escuela Universitaria de Magisterio 13 (Baleares),2022-08-03,Escuela Universitaria de Magisterio 13,Grado en Enfermería,"Grado en Enfermería (Escuela Universitaria de Magisterio 13, Bilbao)"
18,Universidad Nacional de Navarra (Canadá),3,4,Facultad de Derecho (Jaén),2021-08-13,Facultad de Derecho,Grado en Medicina,"Grado en Medicina (Facultad de Derecho, Sevilla)"
70,Universidad Ciencias de Llabrés (Palau),42,64,Facultad de Farmacia 10 (Ávila),2023-01-02,Facultad de Farmacia 10,Grado en Medicina,"Grado en Medicina (Facultad de Farmacia 10, Zaragoza)"
8,Universidad Autónoma de La Coruña (Estonia),22,93,Escuela Universitaria de Enfermería (Burgos),2020-07-04,Escuela Universitaria de Enfermería,Grado en Derecho,"Grado en Derecho (Escuela Universitaria de Enfermería, Oviedo)"
84,Universidad Artes de Estrada (Serbia),43,59,Facultad de Ciencias Sociales 11 (Jaén),2021-12-19,Facultad de Ciencias Sociales 11,Doctorado en Medicina,"Doctorado en Medicina (Facultad de Ciencias Sociales 11, Córdoba)"
10,Universidad Europea de Almería (Túnez),3,19,Facultad de Derecho (Jaén),2023-11-01,Facultad de Derecho,Grado en Bellas Artes,"Grado en Bellas Artes (Facultad de Derecho, Gijón)"
80,Universidad Humanidades de Barranco (Uzbekistán),3,90,Facultad de Derecho (Jaén),2021-01-06,Facultad de Derecho,Doctorado en Psicología,"Doctorado en Psicología (Facultad de Derecho, Sevilla)"
40,Universidad Artes de Lara (Tuvalu),7,79,Facultad de Veterinaria (Ávila),2021-10-03,Facultad de Veterinaria,Grado en Bellas Artes,"Grado en Bellas Artes (Facultad de Veterinaria, Alicante)"
15,Universidad Ciencias de Quintana (Uzbekistán),32,79,Colegio Mayor Universitario (Tarragona),2021-02-26,Colegio Mayor Universitario,Grado en Bellas Artes,"Grado en Bellas Artes (Colegio Mayor Universitario, Valladolid)"
55,Universidad Ciencias de Pablo (Swazilandia),22,95,Escuela Universitaria de Enfermería (Burgos),2023-06-04,Escuela Universitaria de Enfermería,Grado en Psicología,"Grado en Psicología (Escuela Universitaria de Enfermería, Oviedo)"
42,Universidad Tecnología de Donaire (Sudán),14,6,Facultad de Traducción e Interpretación (Sevilla),2021-06-03,Facultad de Traducción e Interpretación,Grado en Arquitectura,"Grado en Arquitectura (Facultad de Traducción e Interpretación, Oviedo)"
36,Universidad Medicina de Alegria (Argentina),10,54,Facultad de Enfermería (Salamanca),2021-12-12,Facultad de Enfermería,Máster Universitario en Investigación Biomédica,"Máster Universitario en Investigación Biomédica (Facultad de Enfermería, Oviedo)"
57,Universidad Internacional de Cuenca (República Dominicana),16,6,Escuela Técnica Superior de Ingeniería Informática (Ceuta),2021-02-26,Escuela Técnica Superior de Ingeniería Informática,Grado en Arquitectura,"Grado en Arquitectura (Escuela Técnica Superior de Ingeniería Informática, Valladolid)"
3,Universidad Europea de Ourense (Qatar),32,1,Colegio Mayor Universitario (Tarragona),2020-03-30,Colegio Mayor Universitario,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Colegio Mayor Universitario, Barcelona)"
91,Universidad Politécnica de Guipúzcoa (Rwanda),42,37,Facultad de Farmacia 10 (Ávila),2023-12-26,Facultad de Farmacia 10,Grado en Biología,"Grado en Biología (Facultad de Farmacia 10, Valladolid)"
27,Universidad Europea de Alicante (Montenegro),10,35,Facultad de Enfermería (Salamanca),2023-07-08,Facultad de Enfermería,Grado en Psicología,"Grado en Psicología (Facultad de Enfermería, Vigo)"
79,Universidad Estatal de Guadalajara (Suecia),45,77,Escuela Universitaria de Magisterio 13 (Baleares),2021-12-16,Escuela Universitaria de Magisterio 13,Grado en Periodismo,"Grado en Periodismo (Escuela Universitaria de Magisterio 13, Madrid)"
81,Universidad Europea de Murcia (Nigeria),20,54,Escuela Técnica Superior de Ingeniería de Telecomunicación (Almería),2020-09-08,Escuela Técnica Superior de Ingeniería de Telecomunicación,Máster Universitario en Investigación Biomédica,"Máster Universitario en Investigación Biomédica (Escuela Técnica Superior de Ingeniería de Telecomunicación, Málaga)"
16,Universidad Tecnología de Arrieta (Vanuatu),34,80,Facultad de Educación 2 (Valladolid),2022-09-17,Facultad de Educación 2,Grado en Educación Primaria,"Grado en Educación Primaria (Facultad de Educación 2, Barcelona)"
60,Universidad Politécnica de Guadalajara (Ucrania),50,85,Escuela Universitaria de Turismo 18 (Girona),2021-05-02,Escuela Universitaria de Turismo 18,Máster Universitario en Psicología General Sanitaria,"Máster Universitario en Psicología General Sanitaria (Escuela Universitaria de Turismo 18, Vigo)"
15,Universidad Ciencias de Quintana (Uzbekistán),10,61,Facultad de Enfermería (Salamanca),2023-03-06,Facultad de Enfermería,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Facultad de Enfermería, Vigo)"
7,Universidad Medicina de Valencia (Mongolia),42,37,Facultad de Farmacia 10 (Ávila),2021-07-09,Facultad de Farmacia 10,Grado en Biología,"Grado en Biología (Facultad de Farmacia 10, Málaga)"
79,Universidad Estatal de Guadalajara (Suecia),49,6,Instituto Universitario de Investigación 17 (Navarra),2020-12-02,Instituto Universitario de Investigación 17,Grado en Arquitectura,"Grado en Arquitectura (Instituto Universitario de Investigación 17, Alicante)"
21,Universidad Humanidades de Losa (Ghana),2,66,Facultad de Ciencias (Ceuta),2020-02-29,Facultad de Ciencias,Grado en Arquitectura,"Grado en Arquitectura (Facultad de Ciencias, Alicante)"
93,Universidad Ciencias de Estrada (Ucrania),29,75,Departamento de Investigación (Burgos),2022-07-07,Departamento de Investigación,Grado en Farmacia,"Grado en Farmacia (Departamento de Investigación, Valladolid)"
30,Universidad Humanidades de Company (República Centroafricana),50,42,Escuela Universitaria de Turismo 18 (Girona),2021-02-08,Escuela Universitaria de Turismo 18,Grado en Filología Hispánica,"Grado en Filología Hispánica (Escuela Universitaria de Turismo 18, Barcelona)"
49,Universidad Ciencias de Valls (Tuvalu),15,61,Facultad de Ciencias Sociales (Lleida),2023-01-29,Facultad de Ciencias Sociales,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Facultad de Ciencias Sociales, Barcelona)"
79,Universidad Estatal de Guadalajara (Suecia),30,50,Centro Internacional de Posgrado (Lugo),2022-03-15,Centro Internacional de Posgrado,Grado en Educación Primaria,"Grado en Educación Primaria (Centro Internacional de Posgrado, Valencia)"
81,Universidad Europea de Murcia (Nigeria),23,26,Escuela Universitaria de Magisterio (Álava),2022-03-02,Escuela Universitaria de Magisterio,Doctorado en Informática,"Doctorado en Informática (Escuela Universitaria de Magisterio, Zaragoza)"
36,Universidad Medicina de Alegria (Argentina),9,60,Facultad de Psicología (Girona),2023-07-06,Facultad de Psicología,Doctorado en Psicología,"Doctorado en Psicología (Facultad de Psicología, Barcelona)"
29,Universidad Tecnología de Vives (Micronesia),19,21,Escuela Técnica Superior de Ingeniería Agronómica (Melilla),2021-10-18,Escuela Técnica Superior de Ingeniería Agronómica,Máster Universitario en Inteligencia Artificial,"Máster Universitario en Inteligencia Artificial (Escuela Técnica Superior de Ingeniería Agronómica, Valladolid)"
12,Universidad Medicina de Macias (República Popular Democrática de Corea),27,67,Centro de Estudios Superiores (Alicante),2023-04-19,Centro de Estudios Superiores,Grado en Biología,"Grado en Biología (Centro de Estudios Superiores, Murcia)"
36,Universidad Medicina de Alegria (Argentina),1,55,Facultad de Medicina (Ávila),2021-04-11,Facultad de Medicina,Máster Universitario en Psicología General Sanitaria,"Máster Universitario en Psicología General Sanitaria (Facultad de Medicina, Gijón)"
76,Universidad Católica de Navarra (Andorra),10,1,Facultad de Enfermería (Salamanca),2023-01-02,Facultad de Enfermería,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Facultad de Enfermería, Valladolid)"
65,Universidad Tecnología de Arnal (Eslovenia),3,68,Facultad de Derecho (Jaén),2023-08-26,Facultad de Derecho,Grado en Química,"Grado en Química (Facultad de Derecho, Bilbao)"
58,Universidad Humanidades de Gomila (Qatar),32,11,Colegio Mayor Universitario (Tarragona),2020-12-24,Colegio Mayor Universitario,Grado en Historia,"Grado en Historia (Colegio Mayor Universitario, Sevilla)"
17,Universidad Artes de Azcona (Mongolia),23,31,Escuela Universitaria de Magisterio (Álava),2020-01-16,Escuela Universitaria de Magisterio,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Escuela Universitaria de Magisterio, Zaragoza)"
21,Universidad Humanidades de Losa (Ghana),46,74,Facultad de Ciencias 14 (Zaragoza),2020-08-15,Facultad de Ciencias 14,Grado en Enfermería,"Grado en Enfermería (Facultad de Ciencias 14, Alicante)"
91,Universidad Politécnica de Guipúzcoa (Rwanda),26,48,Instituto Universitario de Investigación (Jaén),2023-12-21,Instituto Universitario de Investigación,Grado en Comunicación Audiovisual,"Grado en Comunicación Audiovisual (Instituto Universitario de Investigación, Valencia)"
81,Universidad Europea de Murcia (Nigeria),5,89,Facultad de Ciencias Económicas y Empresariales (Córdoba),2022-09-02,Facultad de Ciencias Económicas y Empresariales,Doctorado en Medicina,"Doctorado en Medicina (Facultad de Ciencias Económicas y Empresariales, Bilbao)"
55,Universidad Ciencias de Pablo (Swazilandia),49,90,Instituto Universitario de Investigación 17 (Navarra),2021-11-03,Instituto Universitario de Investigación 17,Doctorado en Psicología,"Doctorado en Psicología (Instituto Universitario de Investigación 17, Zaragoza)"
95,Universidad Artes de Ferrando (Benin),4,87,Facultad de Filosofía y Letras (Lugo),2022-01-04,Facultad de Filosofía y Letras,Doctorado en Economía y Empresa,"Doctorado en Economía y Empresa (Facultad de Filosofía y Letras, Córdoba)"
80,Universidad Humanidades de Barranco (Uzbekistán),3,47,Facultad de Derecho (Jaén),2021-11-18,Facultad de Derecho,Grado en Periodismo,"Grado en Periodismo (Facultad de Derecho, Málaga)"
72,Universidad Complutense de Almería (Panamá),46,27,Facultad de Ciencias 14 (Zaragoza),2021-06-08,Facultad de Ciencias 14,Doctorado en Economía y Empresa,"Doctorado en Economía y Empresa (Facultad de Ciencias 14, Oviedo)"
84,Universidad Artes de Estrada (Serbia),31,97,Centro de Formación Permanente (Granada),2021-12-25,Centro de Formación Permanente,Grado en Biología,"Grado en Biología (Centro de Formación Permanente, Gijón)"
42,Universidad Tecnología de Donaire (Sudán),23,65,Escuela Universitaria de Magisterio (Álava),2023-05-02,Escuela Universitaria de Magisterio,Grado en Psicología,"Grado en Psicología (Escuela Universitaria de Magisterio, Zaragoza)"
48,Universidad Humanidades de Frías (Georgia),23,63,Escuela Universitaria de Magisterio (Álava),2020-08-23,Escuela Universitaria de Magisterio,Grado en Derecho,"Grado en Derecho (Escuela Universitaria de Magisterio, Alicante)"
58,Universidad Humanidades de Gomila (Qatar),40,87,Facultad de Enfermería 8 (Valladolid),2020-04-29,Facultad de Enfermería 8,Doctorado en Economía y Empresa,"Doctorado en Economía y Empresa (Facultad de Enfermería 8, Málaga)"
51,Universidad Técnica de Navarra (Bangladesh),12,10,Facultad de Trabajo Social (Burgos),2020-03-09,Facultad de Trabajo Social,Grado en Matemáticas,"Grado en Matemáticas (Facultad de Trabajo Social, Zaragoza)"
90,Universidad Tecnología de Llamas (Ghana),10,20,Facultad de Enfermería (Salamanca),2021-09-21,Facultad de Enfermería,Grado en Educación Primaria,"Grado en Educación Primaria (Facultad de Enfermería, Alicante)"
38,Universidad Autónoma de Palencia (Guinea),27,70,Centro de Estudios Superiores (Alicante),2021-08-12,Centro de Estudios Superiores,Grado en Matemáticas,"Grado en Matemáticas (Centro de Estudios Superiores, Vigo)"
83,Universidad Complutense de La Coruña (Vanuatu),2,25,Facultad de Ciencias (Ceuta),2020-01-28,Facultad de Ciencias,Máster Universitario en Psicología General Sanitaria,"Máster Universitario en Psicología General Sanitaria (Facultad de Ciencias, Zaragoza)"
67,Universidad Artes de Salamanca (República Popular Democrática de Corea),42,53,Facultad de Farmacia 10 (Ávila),2022-11-21,Facultad de Farmacia 10,Máster Universitario en Abogacía,"Máster Universitario en Abogacía (Facultad de Farmacia 10, Málaga)"
63,Universidad Católica de La Coruña (Suecia),38,90,Escuela Técnica Superior de Arquitectura 6 (Murcia),2023-08-10,Escuela Técnica Superior de Arquitectura 6,Doctorado en Psicología,"Doctorado en Psicología (Escuela Técnica Superior de Arquitectura 6, Vigo)"
40,Universidad Artes de Lara (Tuvalu),11,34,Facultad de Información y Documentación (Valencia),2021-08-12,Facultad de Información y Documentación,Grado en Medicina,"Grado en Medicina (Facultad de Información y Documentación, Oviedo)"
99,Universidad Internacional de Lugo (Belarús),4,46,Facultad de Filosofía y Letras (Lugo),2022-08-31,Facultad de Filosofía y Letras,Grado en Veterinaria,"Grado en Veterinaria (Facultad de Filosofía y Letras, Valencia)"
80,Universidad Humanidades de Barranco (Uzbekistán),11,69,Facultad de Información y Documentación (Valencia),2022-03-06,Facultad de Información y Documentación,Grado en Física,"Grado en Física (Facultad de Información y Documentación, Gijón)"
21,Universidad Humanidades de Losa (Ghana),16,6,Escuela Técnica Superior de Ingeniería Informática (Ceuta),2022-10-05,Escuela Técnica Superior de Ingeniería Informática,Grado en Arquitectura,"Grado en Arquitectura (Escuela Técnica Superior de Ingeniería Informática, Barcelona)"
24,Universidad Tecnología de Pavón (Bangladesh),14,91,Facultad de Traducción e Interpretación (Sevilla),2020-11-11,Facultad de Traducción e Interpretación,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Facultad de Traducción e Interpretación, Córdoba)"
19,Universidad Tecnología de Beltrán (Guinea Ecuatorial),24,70,Escuela Universitaria de Turismo (Valencia),2021-09-10,Escuela Universitaria de Turismo,Grado en Matemáticas,"Grado en Matemáticas (Escuela Universitaria de Turismo, Alicante)"
4,Universidad Medicina de Falcó (Mozambique),26,99,Instituto Universitario de Investigación (Jaén),2021-08-30,Instituto Universitario de Investigación,Grado en Física,"Grado en Física (Instituto Universitario de Investigación, Alicante)"
